title,subject
Madeline and the bad hat,"France, fiction,Picture books,Friendship,Juvenile fiction,Madeline <Fictitious character>,Fiction,Paris (france), fiction,Stories in rhyme,Accessible book,Animal welfare,Juvenile literature,Protected DAISY,Madeline (fictitious character), fiction,Orphans, fiction,Picture books for children,Children's fiction,Pictorial works,Madeline (Fictitious character)"
Freight train,"Freight cars,Accessible book,Picture books,Children's stories, American,Color,Picture books for children,Juvenile fiction,Protected DAISY,Railroads,Railroad trains,Colors,Big books,Children's stories,Trains,Fiction,Juvenile literature,Children's fiction,Pictorial works,Railroads, fiction"
The Tiger Who Came to Tea,"Picture books,Food,Tiger, fiction,Tigers,Fiction,Tiger,Accessible book,Children's stories,Protected DAISY,Children's fiction,Juvenile fiction,Afternoon teas"
Stick Man,"Fiction,Stories in rhyme,Twigs,Christmas,Santa Claus,Children's fiction,Picture books,Toy and movable books,Santa claus, fiction,Christmas, fiction,Fathers,Children's stories, English,Families,Juvenile fiction,Accessible book,Protected DAISY"
"Good Night, Gorilla","Fiction,Zoos,Zoo animals,Juvenile fiction,Gorilla,Ficción juvenil,Animales zoológicos,Parques zoológicos,Board books,Picture books,Zoo keepers,Bedtime stories,Animals,Spanish language materials,Spanish: Grades 2-3,Animales zoologicos,Gorilas,Animales del zoologico,Novela juvenil,Zoologicos,Children's fiction,Zoo animals, fiction,Zoos, fiction,Children's Books/Baby-Preschool,Accessible book,Protected DAISY"
My World,"Rabbits,Picture books,Family,Juvenile fiction,Family life,Fiction,Novela juvenil,Accessible book,Ficción juvenil,Familia,Protected DAISY,Conejos,Families,Spanish language materials"
The People Could Fly,"Folklore, united states,African americans, folklore,Accessible book,Folklore -- United States,African Americans,Tales,African Americans -- Folklore,Slavery,1000blackgirlbooks,Slavery, fiction,Slavery -- Folklore,Folklore,Protected DAISY,Books on compact disc,Juvenile literature,Children's fiction,Picture books"
"Kleiner Eisbär, wohin fährst du?","Action & Adventure - General,Sports & Recreation - General,Animals - General,Missing children,Juvenile Fiction / Action & Adventure,Bears,Children: Kindergarten,Juvenile fiction,Animals - Bears,Niños desaparecidos,Fiction,Osos,Lost children,Ficción juvenil,Polar bear,Children's Books/Ages 4-8 Fiction,Children: Grades 1-2,Spanish language materials,Pictorial works,Picture books"
Outside over there,"Horn (Musical instrument),Goblins,Picture books,UP Elementary,Fiction,Siblings,Kidnapping,Families,Mental Depression,Accessible book,Before kindergarten,Determination (Personality trait),Sisters,Calligraphy,Entering 2nd grade,Reading List,Infants,Hockaday,Children's fiction,Fantasy fiction,Juvenile fiction,Reading list,Fantasy,Protected DAISY"
Tikki Tikki Tembo,"picture book for children,Neighbors,Mothers and sons,Legends,Folklore,Accessible book,Folklore, china,Picture books for children,Juvenile fiction,Wells,Ladders,Middle-born children,Picture books,children's stories,Protected DAISY,First-born children,Chinese Names,Rescues,Personal Names,Brothers"
"1, 2, 3 to the zoo","Picture books,Animals, fiction,Juvenile fiction,Counting books,Zoo animals,Children: Kindergarten,Fiction,Accessible book,Zoos,Counting, juvenile literature,Protected DAISY,Zoo animals, fiction,Counting,Juvenile literature,Children's fiction,Pictorial works,Zoos, juvenile literature"
Have you seen my cat?,"Picture books,Juvenile fiction,Protected DAISY,Children: Kindergarten,Fiction,Cats, fiction,Accessible book,Cats,Children: Babies Toddlers,Children's fiction"
Mama Rex & T,"Play,Tyrannosaurus rex,Picture books,Accessible book,Protected DAISY,Halloween,Fiction,Dinosaurs,Lost children,Cooperativeness,Best friends,Fear,Mother and child"
"Lyle, Lyle, crocodile","New York (City),Crocodiles, fiction,Picture books,Juvenile fiction,Lyle the crocodile (fictitious character), fiction,Juvenile works,Fiction,Crocodiles,Accessible book,Zoos,Protected DAISY,Children's fiction,EASY BOOKS"
Curious George Flies a Kite,"monkeys in fiction,Juvenile fiction,Children's stories,Fiction,Kites,Monkeys,Curiosity,Children's fiction,Kites, fiction,Monkeys, fiction,Curious george (fictitious character), fiction,Bilingual,Cometas (Aeronautica),Monos,Spanish language materials,Ficción juvenil,Libros bilingües,Friendship, fiction,Rabbits, fiction,Picture books for children,Picture books,Accessible book,Protected DAISY"
Georgie,"Ghost stories,Picture books,Juvenile fiction,Fiction,Accessible book,Protected DAISY,Haunted houses,Ghosts,Haunted places,Cuentos de fantasmas,Spanish language materials"
